Card_Name,Number,Suit,Upright_1,Upright_2,Upright_3,Upright_4,Upright_5,Upright_6,Upright_7,Upright_8,Upright_9,Upright_10,Upright_11,Upright_12,Reversed_1,Reversed_2,Reversed_3,Reversed_4,Reversed_5,Reversed_6,Reversed_7,Reversed_8,Reversed_9,Reversed_10,Reversed_11,Reversed_12
The Fool,0,Major Arcana,initiation,openness,invitation,innocence,threshold,possibility,entry,naivety,trust,momentum,potential,unanchored,recklessness,disruption,avoidance,naivety,resistance,stalling,disconnection,refusal,immaturity,unreliability,escapism,groundlessness
The Magician,I,Major Arcana,activation,agency,direction,channelling,initiative,orchestration,persuasion,shaping,focus,mastery,assertion,catalysing,manipulation,misdirection,overreach,deception,controlling,withholding,bluffing,undermining,deflection,hollow,coercion,sabotage
The High Priestess,II,Major Arcana,withholding,depth,asymmetry,mirroring,reserve,discernment,mystery,receptivity,witness,patience,knowing,threshold,concealment,inaccessibility,opacity,withdrawal,guardedness,absence,secrecy,evasion,suppression,distance,blocking,unknowability
The Empress,III,Major Arcana,nurturing,generosity,abundance,embodiment,welcoming,sustaining,growth,warmth,cultivation,receptivity,fertility,enveloping,smothering,depletion,withholding,dependence,stagnation,over-giving,possessiveness,neglect,barrenness,control,enmeshment,draining
The Emperor,IV,Major Arcana,structuring,authority,stabilising,protection,ordering,holding,establishing,grounding,boundary,governance,reliability,anchoring,rigidity,domination,inflexibility,control,tyranny,obstruction,suppression,overreach,resistance,imposition,unmovability,hardening
The Hierophant,V,Major Arcana,transmission,mediation,initiating,belonging,sanctioning,gatekeeping,formalising,guiding,contextualising,legitimising,bridging,consecrating,dogmatism,exclusion,conformity,restriction,gatekeeping,rigidity,suppression,orthodoxy,alienation,prohibition,hierarchy,entrenchment
The Lovers,VI,Major Arcana,alignment,choosing,resonance,intimacy,integration,polarity,commitment,mirroring,attraction,bonding,discernment,wholeness,misalignment,avoidance,splitting,conflict,indecision,disconnection,incompatibility,projection,tension,ambivalence,fracture,estrangement
The Chariot,VII,Major Arcana,driving,overcoming,directing,propulsion,willpower,momentum,controlling,advancing,harnessing,conviction,determination,mastery,aggression,forcing,collision,stalling,overriding,bulldozing,loss-of-control,resistance,derailing,recklessness,rigidity,imposing
Strength,VIII,Major Arcana,steadying,patience,gentling,influencing,containing,endurance,compassion,persuasion,softening,resilience,taming,presence,dominance,suppression,fear,coercion,volatility,pushing,forcing,submission,overpower,brittleness,exhaustion,aggression
The Hermit,IX,Major Arcana,withdrawal,illuminating,guiding,reflecting,distancing,discerning,solitude,offering,witnessing,pointing,clarifying,separating,isolation,withholding,disconnection,hiding,exile,refusal,unavailability,retreat,avoidance,opacity,withdrawal,self-enclosure
